id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
46048,Male,22,1,26,1,< 1 Year,No,27460,152,172,0
228395,Male,29,1,15,0,< 1 Year,Yes,28982,152,207,0
170449,Male,25,1,2,0,< 1 Year,No,25067,152,228,0
92900,Male,34,1,47,1,1-2 Year,Yes,2630,156,193,0
257877,Male,35,1,28,0,1-2 Year,Yes,40499,124,77,1
350478,Male,28,1,6,1,< 1 Year,No,28464,152,220,0
119747,Male,23,1,41,1,< 1 Year,No,21409,152,65,0
16744,Female,40,1,20,1,1-2 Year,No,2630,124,220,0
85458,Male,22,1,8,1,< 1 Year,No,52952,152,191,0
94867,Male,46,1,28,0,> 2 Years,Yes,43919,124,252,0
123778,Male,36,1,33,0,1-2 Year,Yes,47113,124,126,1
29720,Male,50,1,8,0,1-2 Year,Yes,43242,26,295,0
300022,Male,37,1,28,0,1-2 Year,Yes,31088,26,204,1
71782,Female,22,1,33,1,< 1 Year,No,37817,152,280,0
176425,Female,23,1,41,1,< 1 Year,No,35668,152,129,0
101127,Male,24,1,13,1,< 1 Year,No,2630,153,123,0
74685,Male,77,1,8,1,1-2 Year,No,71676,26,121,0
5350,Female,27,1,28,1,< 1 Year,No,34334,152,41,0
321268,Female,57,1,38,0,1-2 Year,Yes,49035,124,126,1
132425,Male,38,1,28,1,1-2 Year,No,31728,26,268,0
85107,Male,43,1,46,0,1-2 Year,Yes,20635,154,56,1
16499,Female,35,1,28,1,1-2 Year,No,47173,124,170,0
286651,Female,21,1,8,0,< 1 Year,Yes,35934,160,295,1
207516,Female,23,1,46,1,< 1 Year,No,28762,160,242,0
73985,Male,38,1,28,0,1-2 Year,Yes,32833,124,53,0
296423,Male,44,1,32,0,1-2 Year,Yes,18618,124,67,0
37364,Female,37,1,8,1,1-2 Year,No,29305,152,125,0
115597,Male,60,1,33,0,1-2 Year,Yes,39885,26,16,0
300342,Female,25,1,28,0,< 1 Year,Yes,47215,152,256,0
249630,Female,23,1,11,1,< 1 Year,No,55814,152,81,0
48071,Female,31,1,13,1,< 1 Year,No,26554,152,96,0
375270,Male,57,1,28,0,> 2 Years,Yes,51073,52,256,1
333153,Female,21,1,46,0,< 1 Year,Yes,19362,152,85,1
317723,Male,24,1,43,1,1-2 Year,No,27489,124,69,0
344802,Male,30,1,48,0,1-2 Year,Yes,2630,15,274,1
75800,Female,20,1,36,1,< 1 Year,No,36035,160,117,0
231647,Female,61,1,28,0,1-2 Year,Yes,47663,122,217,1
323400,Female,74,1,29,1,1-2 Year,No,37307,26,87,0
157157,Female,46,1,28,1,1-2 Year,No,43644,55,141,0
170243,Female,57,1,50,1,1-2 Year,No,2630,152,106,0
260331,Female,29,1,50,1,< 1 Year,No,30209,152,277,0
197045,Male,26,1,17,1,< 1 Year,No,40802,152,174,0
224164,Male,57,1,35,1,1-2 Year,No,35047,26,191,0
183066,Female,36,1,29,0,1-2 Year,Yes,16521,154,209,1
359253,Male,28,1,47,0,< 1 Year,No,23034,160,233,0
166967,Female,48,1,8,1,1-2 Year,No,29578,152,167,0
297517,Female,27,1,8,0,< 1 Year,Yes,35322,152,153,0
195072,Male,22,1,6,0,< 1 Year,Yes,35226,152,277,0
14961,Male,55,1,8,1,1-2 Year,No,29952,26,165,0
104465,Male,22,1,17,1,< 1 Year,No,2630,26,165,0
205930,Male,30,1,33,1,< 1 Year,No,33655,152,95,0
145764,Female,25,1,29,1,< 1 Year,No,33587,152,204,0
280562,Male,77,1,11,1,1-2 Year,No,24276,124,129,0
160081,Male,52,1,47,0,1-2 Year,Yes,26368,124,12,0
256114,Female,28,1,15,1,< 1 Year,No,30321,152,10,0
199084,Male,45,1,28,1,1-2 Year,Yes,2630,3,201,0
378081,Male,55,1,28,0,1-2 Year,Yes,33660,26,109,0
46251,Male,59,1,40,0,> 2 Years,Yes,34683,124,70,0
262946,Female,49,1,28,0,1-2 Year,Yes,28540,157,88,1
110274,Female,21,1,11,0,< 1 Year,Yes,41329,160,72,0
122347,Female,22,1,29,1,< 1 Year,No,29181,152,123,0
46446,Female,39,1,28,1,1-2 Year,No,40551,124,73,0
182433,Male,54,1,28,0,> 2 Years,Yes,2630,26,228,0
335086,Male,24,1,15,1,< 1 Year,No,41189,152,248,0
280926,Male,26,1,22,1,< 1 Year,No,20966,152,150,0
345156,Male,53,1,28,1,1-2 Year,No,56930,124,151,0
28373,Female,40,1,45,0,1-2 Year,Yes,2630,157,222,1
193741,Female,62,1,28,0,1-2 Year,Yes,55329,122,218,0
306550,Male,23,1,47,0,< 1 Year,Yes,33667,152,167,0
67742,Female,27,1,50,1,< 1 Year,No,46800,152,98,0
243372,Female,25,1,47,1,< 1 Year,No,34575,152,114,0
10113,Female,26,1,2,1,< 1 Year,No,26327,152,121,0
311916,Female,27,1,21,1,< 1 Year,No,27382,152,18,0
299703,Male,28,1,15,1,< 1 Year,No,33790,152,207,0
